iter	Passed	Remaining
0	131	65849
1	134	33381
2	135	22512
3	137	17078
4	139	13826
5	141	11678
6	144	10150
7	146	8986
8	147	8069
9	150	7363
10	152	6781
11	154	6284
12	156	5871
13	159	5519
14	160	5196
15	162	4919
16	164	4668
17	165	4442
18	167	4242
19	169	4063
20	171	3908
21	172	3757
22	174	3624
23	176	3504
24	178	3391
25	181	3300
26	182	3203
27	184	3113
28	186	3033
29	188	2959
30	190	2886
31	192	2816
32	195	2763
33	197	2705
34	199	2652
35	201	2596
36	203	2546
37	205	2504
38	207	2458
39	209	2411
40	212	2377
41	214	2341
42	217	2306
43	219	2276
44	221	2241
45	223	2210
46	226	2180
47	227	2146
48	229	2112
49	231	2081
50	232	2050
51	234	2020
52	236	1992
53	238	1965
54	239	1939
55	241	1914
56	243	1889
57	244	1866
58	246	1844
59	248	1823
60	250	1800
61	251	1778
62	253	1757
63	255	1737
64	256	1717
65	258	1698
66	259	1680
67	261	1662
68	263	1645
69	264	1627
70	266	1610
71	268	1595
72	270	1579
73	271	1565
74	273	1552
75	275	1539
76	277	1525
77	279	1511
78	281	1498
79	282	1484
80	284	1472
81	286	1459
82	288	1447
83	289	1434
84	291	1422
85	292	1409
86	294	1397
87	296	1387
88	297	1376
89	299	1365
90	301	1355
91	303	1346
92	305	1336
93	307	1326
94	308	1315
95	310	1305
96	311	1295
97	313	1286
98	315	1278
99	317	1269
100	319	1260
101	320	1251
102	322	1242
103	324	1233
104	325	1225
105	327	1215
106	328	1207
107	330	1198
108	331	1190
109	333	1182
110	335	1174
111	336	1166
112	338	1158
113	339	1150
114	341	1143
115	343	1135
116	344	1128
117	346	1121
118	347	1114
119	349	1107
120	351	1099
121	352	1092
122	354	1086
123	356	1079
124	357	1072
125	359	1066
126	361	1060
127	362	1053
128	364	1047
129	365	1041
130	367	1035
131	369	1029
132	370	1023
133	372	1017
134	374	1012
135	376	1006
136	377	1000
137	379	995
138	380	989
139	382	983
140	384	978
141	386	973
142	387	968
143	389	962
144	391	957
145	392	952
146	394	946
147	395	941
148	397	936
149	399	931
150	400	926
151	402	921
152	403	916
153	405	911
154	407	906
155	408	901
156	410	896
157	412	892
158	414	888
159	416	884
160	417	880
161	419	875
162	421	871
163	423	867
164	425	863
165	426	858
166	428	854
167	430	850
168	431	845
169	433	841
170	435	837
171	436	833
172	438	828
173	440	824
174	441	820
175	443	815
176	444	811
177	446	807
178	447	803
179	449	798
180	450	794
181	452	790
182	453	786
183	455	782
184	456	778
185	458	773
186	460	770
187	461	766
188	463	762
189	464	758
190	466	754
191	468	751
192	469	747
193	471	743
194	473	739
195	474	736
196	476	732
197	477	728
198	479	724
199	480	721
200	482	717
