iter	Passed	Remaining
0	118	59155
1	122	30604
2	126	20967
3	129	16108
4	133	13201
5	136	11256
6	140	9926
7	144	8899
8	148	8097
9	152	7462
10	156	6948
11	160	6519
12	163	6133
13	167	5804
14	171	5548
15	175	5299
16	178	5077
17	182	4886
18	186	4727
19	190	4560
20	193	4410
21	196	4273
22	200	4150
23	203	4034
24	206	3927
25	210	3830
26	213	3741
27	216	3657
28	220	3586
29	224	3513
30	227	3442
31	230	3376
32	234	3322
33	238	3263
34	241	3206
35	244	3151
36	248	3104
37	251	3063
38	255	3018
39	258	2977
40	262	2941
41	266	2900
42	269	2867
43	273	2829
44	277	2804
45	280	2769
46	284	2740
47	287	2708
48	291	2679
49	294	2647
50	297	2618
51	300	2593
52	304	2567
53	307	2542
54	311	2521
55	315	2499
56	319	2479
57	322	2459
58	326	2437
59	329	2418
60	333	2401
61	337	2381
62	340	2360
63	343	2341
64	347	2323
65	350	2305
66	353	2286
67	356	2267
68	360	2252
69	364	2240
70	368	2228
71	371	2210
72	375	2196
73	379	2185
74	382	2169
75	386	2156
76	390	2143
77	393	2129
78	397	2117
79	401	2105
80	404	2090
81	407	2077
82	410	2064
83	414	2054
84	417	2040
85	421	2027
86	424	2014
87	428	2004
88	431	1992
89	434	1979
90	437	1966
91	441	1956
92	444	1946
93	448	1935
94	451	1924
95	455	1915
96	458	1904
97	461	1894
98	465	1883
99	468	1875
100	471	1863
101	475	1854
102	478	1844
103	482	1835
104	485	1827
105	489	1817
106	492	1809
107	496	1800
108	499	1791
109	502	1783
110	506	1774
111	510	1766
112	513	1759
113	517	1751
114	520	1744
115	524	1735
116	527	1727
117	531	1719
118	534	1711
119	537	1702
120	540	1694
121	544	1686
122	547	1678
123	550	1670
124	554	1662
125	557	1655
126	561	1650
127	565	1642
128	568	1635
129	572	1628
130	575	1622
131	579	1614
132	582	1607
133	585	1600
134	589	1593
135	592	1587
136	596	1579
137	599	1572
138	602	1565
139	606	1558
140	609	1552
141	612	1545
142	616	1538
143	619	1531
144	622	1525
145	626	1518
146	629	1511
147	632	1503
148	635	1497
149	639	1491
150	642	1484
151	645	1478
152	649	1472
153	652	1466
154	656	1460
155	659	1454
156	662	1447
157	665	1441
158	669	1435
159	672	1429
160	676	1423
161	679	1417
162	682	1411
163	686	1406
164	690	1402
165	694	1397
166	697	1391
167	701	1386
168	705	1381
169	708	1376
170	712	1370
171	715	1364
172	718	1358
173	722	1353
174	725	1348
175	729	1342
176	732	1336
177	736	1332
178	740	1327
179	744	1323
180	747	1317
181	750	1311
182	754	1306
183	757	1300
184	760	1295
185	764	1290
186	768	1286
187	772	1282
188	776	1277
189	779	1271
190	783	1267
191	788	1264
192	791	1259
193	794	1253
194	798	1249
195	802	1244
196	806	1240
197	809	1235
198	813	1230
199	816	1225
200	820	1220
201	824	1215
202	827	1210
203	830	1205
204	834	1200
205	837	1195
206	840	1190
207	844	1185
208	847	1180
209	852	1176
210	855	1171
211	859	1167
212	862	1162
213	867	1158
214	871	1154
215	874	1150
216	878	1145
217	882	1141
218	885	1136
219	889	1132
220	893	1127
221	897	1123
222	901	1119
223	904	1114
224	908	1109
225	911	1105
226	915	1101
227	919	1096
228	923	1092
229	926	1087
230	930	1083
231	934	1079
232	938	1075
233	941	1070
234	945	1066
235	949	1062
236	953	1057
237	957	1053
238	960	1048
239	964	1044
240	967	1039
241	970	1034
242	973	1030
243	977	1025
244	980	1021
245	984	1016
246	987	1011
247	991	1007
248	994	1002
249	998	998
250	1001	993
251	1004	988
252	1007	983
253	1011	979
254	1014	975
255	1018	970
256	1021	966
257	1024	961
258	1028	957
259	1031	952
260	1035	947
261	1038	943
262	1041	938
263	1045	934
264	1049	930
265	1053	926
266	1057	922
267	1061	918
268	1065	914
269	1068	910
270	1072	906
271	1076	902
272	1079	897
273	1082	893
274	1086	888
275	1090	884
276	1094	880
277	1097	876
278	1101	872
279	1104	868
280	1108	863
281	1112	859
282	1115	855
283	1119	851
284	1123	847
285	1126	843
286	1130	838
287	1133	834
288	1137	830
289	1140	825
290	1143	821
291	1147	817
292	1150	812
293	1154	808
294	1158	804
295	1161	800
296	1165	796
297	1168	792
298	1172	788
299	1176	784
300	1179	779
301	1182	775
302	1186	771
303	1189	766
304	1192	762
305	1195	758
306	1199	753
307	1202	749
308	1205	745
309	1209	741
310	1212	736
311	1215	732
312	1219	728
313	1222	724
314	1226	720
315	1229	715
316	1232	711
317	1236	707
318	1239	703
319	1242	699
320	1246	694
321	1249	690
322	1252	686
323	1257	682
324	1260	678
325	1263	674
326	1266	670
